route_number,route_id
418,5506B-01
4254,5506B-02
4255,5506B-03
420,5506C-01
421,5506C-02
1311,5506C-03
423,5506D-01
425,5507A-01
426,5507A-02
427,5507A-03
2997,5507A-04
2998,5507A-05
2999,5507A-06
766,5507B-01
429,5507C-01
430,5507C-02
1046,5508-01
1047,5508-02
1048,5508-03
1049,5508-04
432,5508A-01
434,5508B-01
435,5508B-02
436,5508B-03
438,5513-01
439,5513-02
440,5513-03
2780,5513-04
2796,5513-05
992,5517-01
993,5517-02
994,5517-03
1464,5517-04
1465,5517-05
2254,5517-06
2255,5517-07
2415,5517-08
3075,5517-09
3076,5517-10
3894,5517-11
442,5517A-01
444,5517B-01
446,5520A-01
448,5520B-01
450,5521A-01
452,5521B-01
453,5521B-03
455,5521C-01
456,5521C-03
458,5522A-01
459,5522A-02
461,5522B-01
463,5523A-01
464,5523A-02
465,5523A-03
1028,5523A-04
1029,5523A-05
2594,5523A-06
4657,5523A-07
4716,5523A-08
467,5523B-01
469,5525A-01
470,5525A-02
472,5525B-01
474,5534-01
475,5534-02
3000,5534-03
3001,5534-04
3002,5534-05
3003,5534-06
4222,5534-07
4223,5534-08
477,5537-01
478,5537-02
480,5540-01
797,5540-02
5675,5550-01
5676,5550-02
5677,5550-03
5515,6000-01
482,60-01
5517,6001-01
483,60-02
484,60-03
3741,60-04
1403,6006-01
1405,6007-01
1407,6008-01
1409,6009-01
486,601-01
3214,601-02
3215,601-03
5116,601-04
5117,601-05
8025,6014-01
8039,6017-01
8029,6018-01
1865,6024-01
1867,6025-01
1870,6027-01
1882,6027-02
2777,6027-03
5817,6030-01
6146,6030-02
6143,6031-01
8027,6032-01
8033,6034-01
488,606-01
768,607-01
769,607-02
770,607-03
2280,607-04
3736,607-05
6861,607-06
6862,607-07
490,608-01
491,608-02
1034,608-03
5878,608-04
7278,608-05
7279,608-06
493,609-01
3014,609-02
3015,609-03
495,61-01
496,61-02
497,61-03
498,61-04
1684,61-05
1685,61-06
1782,61-07
1783,61-08
1784,61-09
1785,61-10
1786,61-11
1787,61-12
3539,61-13
4214,61-14
4215,61-15
500,613-01
5567,614-01
5570,614-02
5584,614-03
5585,614-04
5587,614-05
6805,614-06
6806,614-07
5572,615-01
5978,615-02
6864,615-03
7998,615-04
7999,615-05
5574,616-01
5575,616-02
6808,616-03
6858,616-04
5602,617-01
5603,617-02
5977,617-03
6865,617-04
5577,618-01
5578,618-02
