route_id,route_short_name,route_long_name,shape_id,initial_stop_id,final_stop_id
5401  05,5401,Sao Luiz/Dom Cabral (Via Al. Do Ipe Branco),5401-05I,112613001980,106939800133
5401  06,5401,Sao Luiz/Dom Cabral (Noturno),5401-06I,112613001980,106939800133
511   01,511,Estacao Ponto Sao Jose / Jardim Alvorada (Principal),511-01I,103536600140,103536600140
62    12,62,Estacao Venda Nova/Savassi Via Hospitais (Via Estacao Vilarinho),62-12I,107042600140,101153700105
62    07,62,Estacao Venda Nova/Savassi Via Hospitais (Noturno),62-07I,107042600140,101153700105
64    03,64,Estacao Venda Nova/Assembleia Via Carlos Luz (Retorno Av.Dom Pedro Ii),64-03I,107042600140,101153700105
627   02,627,Estacao Venda Nova/Mantiqueira (Noturno),627-02I,107042600140,101153700105
6030  01,6030,Cidade Administrativa/Savassi Via Hospitais (Principal),6030-01V,101873800336,108550603759
305   01,305,Estacao Diamante / Mangueiras (Principal),305-01I,130311900120,130312000050
716   01,716,Estacao Sao Gabriel / Novo Aarao Reis (Principal),716-01I,101865205600,101865205600
713   01,713,Estacao Sao Gabriel / Lajedo (Principal),713-01I,101865205600,101865205600
615   02,615,Estacao Pampulha / Ceu Azul B (Ceu Azul/Estacao Pampulha),615-02V,105481603700,110944200009
705   06,705,Estacao Sao Gabriel / Sao Tomaz (Centro Esp. Medica-Unifenas),705-06I,101865205600,101865205600
5503A 03,5503A,Goiania A (Noturno),5503A-03I,109588100160,109588100160
3302D 01,3302D,Braunas (Principal),3302D-01I,600067900072,600067900072
901   01,901,Circular Leste (Principal),901-01I,100918800001,100918800001
8401  01,8401,Cachoeirinha/Sao Jose (Principal),8401-01I,102694800630,102694800630
9403  01,9403,Paraiso/Caicara (Principal),9403-01I,102004300211,112769400211
402   04,402,Metro Cid.Industrial/Camargos (Via R. Silex - Tarde),402-04I,130063100003,130063100003
4108  02,4108,Pedro Ii/Mangabeiras (Desvio Feira Da Av.Afonso Pena),4108-02I,103536600140,103536600140
8102  02,8102,Uniao/Carmo Sion (Atendimento A Praca Miguel Chiquiloff),8102-02I,106583500151,112814900041
9205  03,9205,Nova Vista/Nova Cintra (Atendimento Ao Bairro Patrocinio),9205-03I,700002600262,109049700450
9101  02,9101,Alto Vera Cruz/Sao Bento (Alto Sta Lucia-Desvio Feira Af.Pena),9101-02V,107902700390,102813300090
4403D 01,4403D,Urca-Confisco (Principal),4403D-01I,104147000010,104147000010
3051  01,3051,Flavio Marques Lisboa / Savassi Via N.S.Carmo (Principal),3051-01I,107385600600,107385600600
SC04B 01,SC04B,Santa Casa/Rodoviaria/Savassi B (Principal),SC04B-01I,102966901035,102966901035
3502  01,3502,Ouro Preto/Sao Gabriel (Principal),3502-01V,108207200215,108064400267
8001A 02,8001A,Santa Ines/Bh Shopping (Desvio Feira Av.Afonso Pena),8001A-02I,700000800001,101438700550
901   04,901,Circular Leste (Retorno-Bairro Sagrada Familia),901-04I,100918800001,100918800001
506   02,506,Estacao Ponto Sao Jose / Av. Antonio Carlos  (Via Ouro Preto E Novo Ouro Preto),506-02I,103536600140,103536600140
68    01,68,Estacao Vilarinho / Lagoinha (Principal),68-01I,110998800036,110998800036
615   01,615,Estacao Pampulha / Ceu Azul B (Principal),615-01I,110944200009,110944200009
618   01,618,Estacao Pampulha/Rio Branco Via Jardim Leblon (Principal),618-01I,111409000060,111409000060
3503A 03,3503A,Santa Terezinha/Sao Gabriel (Partidas Do Ouro Minas),3503A-03V,112146800351,111797000193
630   01,630,Estacao Vilarinho/Serra Verde Via Av.Salamanca (Principal),630-01I,110998800036,110998800036
4111  03,4111,Dom Cabral/Anchieta (Atendimento A Escola Guinard),4111-03V,101276000001,106939800501
8106  02,8106,Santa Cruz/Bh Shopping Via Belvedere (Desvio Feira Av. Afonso Pena),8106-02V,101438700550,105119300250
328   01,328,Estacao Barreiro / Cardoso B (Principal),328-01I,100980200007,100130600640
327   03,327,Estacao Barreiro / Cardoso A (Noturno),327-03I,100980200007,100130600640
33    05,33,Estacao Barreiro/Centro-Hospitais (Direta),33-05I,100980200007,100980200007
105   01,105,Estacao Central / Lourdes (Principal),105-01I,100047300510,100047300510
808   01,808,Estacao Sao Gabriel / Paulo VI (Principal),808-01I,101865205600,101865205600
821   01,821,Estacao Jose Candido / Goiania (Principal),821-01I,103261701820,103261701820
637   01,637,Estacao Vilarinho / Canaa Via Serra Verde (Principal),637-01I,110998800036,110998800036
627   06,627,Estacao Venda Nova/Mantiqueira (Principal),627-06I,107042600140,101153700105
311   03,311,Estacao Diamante / Independencia (Est. Barreiro/Independencia),311-03I,100980200007,100980200007
311   04,311,Estacao Diamante / Independencia (R. F. Pitangueira/Est.Barreiro),311-04I,104294900119,106751210295
631   02,631,Estacao Vilarinho / Serra Verde Via Minas Caixa (Atendimento Ao Canaa),631-02I,110998800036,108933300185
9208  04,9208,Taquaril/Conjunto Santa Maria (Atendimento A Rua Padre Feijo),9208-04V,111293600038,111970500156
329   02,329,Estacao Barreiro / Jatoba (Via Teresa Cristina),329-02I,100980200007,106751210235
1509  07,1509,California/Tupi (Principal),1509-07V,101126200019,108307500226
5503A 07,5503A,Goiania A (Via Est. Jose Candido),5503A-07I,109588100160,109588100160
4403A 03,4403A,Zoologico Via Serrano (Noturno),4403A-03I,108385700570,108385700570
9503  01,9503,Taquaril/Jaragua (Principal),9503-01I,112894600275,104781300385
9407  01,9407,Alto Vera Cruz/Dom Bosco (Principal),9407-01I,102813301374,104745000356
202   01,202,Estacao Vila Oeste (Principal),202-01I,100017000170,100017000170
61    01,61,Estacao Venda Nova/Centro-Direta (Principal),61-01I,107042600140,101153700105
327   01,327,Estacao Barreiro / Cardoso A (Principal),327-01I,100980200007,100130600640
9502  04,9502,Sao Geraldo/Sao Francisco Via Esplanada (Zoologico Via Museu De Arte),9502-04I,103544101023,105056608000
823   02,823,Estacao Sao Gabriel / Bairro Vitoria (Via Est. Jose Candido),823-02I,130343500495,130343500495
8401  04,8401,Cachoeirinha/Sao Jose (Sao Jose / Centro),8401-04I,102694800630,102694800630
3029  01,3029,Regina / Centro (Principal),3029-01I,102331600590,102331600590
341   01,341,Estacao Barreiro / Estacao Diamante Via Saude (Principal),341-01I,100980200007,100130600640
337   01,337,Estacao Barreiro / Itaipu (Principal),337-01I,100980200007,106751210295
3150  01,3150,Regina-Lindeia / Bh Shopping Via Anel Rodoviario (Principal),3150-01I,102331600520,102331600520
643   02,643,Estacao Pampulha / Copacabana Via Monte Carmelo (Partidas Da Est.Pampulha),643-02I,105481603700,105289203700
620   02,620,Estacao Pampulha / Santa Monica Via Santa Amelia (Partidas Da Estacao Pampulha),620-02I,105481603700,105481603700
641   03,641,Estacao Vilarinho/Serra Verde (Partidas Da Estacao Vilarinho),641-03I,110998800036,110998800036
738   03,738,Estacao Vilarinho/Conj.Zilah Sposito (Conj.Zilah Sposito/E.Vilarinho),738-03I,111339000257,110998800036
3055  08,3055,Estacao Barreiro/Savassi Via Bhshopping (Via Olhos Dagua Oeste),3055-08I,100980200007,100130600640
3053  02,3053,Estacao Barreiro/B.Preto (Atendimento A Via Expressa),3053-02I,100980200007,100130600640
9550  03,9550,Casa Branca/Sao Francisco Via Est. Jose Candido (Partida E.E. Walt Disney),9550-03I,111617000531,106161701501
2151  01,2151,Vista Alegre/Serra (Principal),2151-01V,100236500153,105344801164
718   03,718,Estacao Pampulha / Planalto (Partidas Da Estacao Pampulha),718-03I,105481603700,105289203700
506   03,506,Estacao Ponto Sao Jose / Av. Antonio Carlos  (Via Castelo),506-03I,103536600140,103536600140
338   01,338,Estacao Barreiro/Pilar - Olhos Dagua (Principal),338-01I,100980200007,100130600250
9211  04,9211,Caetano Furquim/Havai (Desvio Feira Av. Afonso Pena),9211-04V,104962000253,103584500028
9410  05,9410,Sagrada Familia/Coracao Eucaristico (Desvio Feira Av. Afonso Pena),9410-05V,106112500200,102346001085
712   05,712,Estacao Pampulha / Sao Bernardo (Sao Bernardo/Estacao Pampulha),712-05I,102367500972,105289203700
7015  01,7015,Monte Azul/Centro (Principal),7015-01I,110478200068,101137600375
6014  01,6014,Ceu Azul/Centro (Principal),6014-01I,110242800056,101137600375
82    02,82,Estacao Sao Gabriel / Savassi Via Hospitais (Direta),82-02I,101865205600,101865205600
510   03,510,Estacao Pampulha / Xangrila Via Trevo (Xangrila/Estacao Pampulha),510-03I,101064800489,105289203700
616   04,616,Estacao Pampulha / Ceu Azul C (Ceu Azul/Estacao Pampulha),616-04V,105481603700,600000200285
815   02,815,Estacao Sao Gabriel / Conjunto Paulo VI (Noturno Via Rua Sao Jacinto),815-02I,101865205600,101865205600
85    01,85,Estacao Sao Gabriel / Centro Via Floresta (Principal),85-01I,101865205600,101865205600
814   02,814,Estacao Sao Gabriel / Jardim Vitoria (Via Pousada Sto Antonio),814-02I,101865205600,101865205600
614   03,614,Estacao Pampulha / Ceu Azul A (Partidas Da Estacao Pampulha),614-03I,105481603700,105481603700
5250  02,5250,Estacao Pampulha / Betania (Noturno),5250-02I,105481603700,130828600055
5201  03,5201,Dona Clara/Buritis (Principal),5201-03V,108972400279,111611400028
634   05,634,Est. Vilarinho/Nova York Via Jd.Dos Comerciarios (Via Estacao Venda Nova),634-05I,110659900332,110659900332
3302A 07,3302A,Nova Pampulha Via Itamarati (Partidas Da Rua Petropolis),3302A-07I,110332000271,300107700825
8205  01,8205,Maria Goretti/Nova Granada (Principal),8205-01I,109007800166,102922400045
625   01,625,Estacao Venda Nova / Maria Helena B (Principal),625-01I,107042600140,101153700105
713   03,713,Estacao Sao Gabriel / Lajedo (Noturno),713-03I,101865205600,101865205600
3051  03,3051,Flavio Marques Lisboa / Savassi Via N.S.Carmo (Retorno Expresso),3051-03I,107385600600,105873101034
4103  01,4103,Aparecida/Mangabeiras (Principal),4103-01V,110663300580,109739500090
4110  01,4110,Dom Cabral/Belvedere (Principal),4110-01I,106939800501,500019200340
9030  01,9030,Castanheiras/Centro (Principal),9030-01I,102656000001,102656000001
4111  01,4111,Dom Cabral/Anchieta (Principal),4111-01V,101276000001,106939800501
8101  01,8101,Santa Cruz/Alto Santa Lucia (Principal),8101-01I,105803500405,107902700390
309   01,309,Estacao Diamante / Bairro Petropolis (Principal-Vila Santa Rita),309-01I,130311900120,130311900120
