route_stop_id,route_id,stop_id,stop_sequence
915,1404A 05,101909000656,44
916,1404A 05,101909000862,45
917,1404A 05,100314001476,46
918,1404A 05,100314001886,47
919,1404A 05,100314002264,48
920,1404A 05,100314002532,49
921,1404A 05,100314003060,50
922,1404A 05,100314003410,51
923,1404A 05,100314003826,52
924,1404A 05,103965700183,53
925,1404A 05,101990400792,54
926,1404A 05,101990401026,55
927,1404A 05,101990401316,56
928,1404A 05,104018700084,57
929,1404A 05,104018700426,58
930,1404A 05,104018700760,59
931,1404A 05,104018700892,60
932,1404A 05,104018701128,61
933,1404A 05,101220900358,62
934,1404A 05,101220900496,63
935,1404A 05,107106600022,64
936,1404A 05,103348700066,65
937,1404A 05,103348700150,66
938,1404A 05,103348700260,67
